Mã KCB,Tên cơ sở,Tên cơ sở (English),Loại hình cơ sở,Cấp cơ sở,Tỉnh/Thành phố,Quận/Huyện,Xã/Phường
     36041,TTYT  Thành phố Nam Định,Nam Dinh City Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Nam Định,Thành phố Nam Định,Phường Trần Tế Xương
     36057,Bệnh viện Nhi Nam Định,Nam Dinh Provincial Pediatric Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Nam Định,Thành phố Nam Định,Phường Ngô Quyền
     36014,Bệnh viện Mắt tỉnh Nam Định,Nam Dinh provincial Eye Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Nam Định,Thành phố Nam Định,Phường Lộc Hạ
     36059_2,Bệnh viện Tâm thần tỉnh Nam Định,Nam Dinh Provincial Mental Health Hospital (CS2-Treatment area B),Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Nam Định,Thành phố Nam Định,Phường Lộc Hạ
     36045,Bệnh viện Y học cổ truyền tỉnh Nam Định,Nam Dinh Provincial Traditional Medicine Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Nam Định,Thành phố Nam Định,Phường Lộc Hạ
     36035,TTYT  Huyện Vụ Bản,Vu Ban District Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Nam Định,Huyện Vụ Bản,Xã Cộng Hòa
     36010,TTYT  Huyện Mỹ Lộc,My Loc District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Nam Định,Huyện Mỹ Lộc,Thị trấn Mỹ Lộc
     36032,TTYT  Huyện Ý Yên,Y Yen District Health Center,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Nam Định,Huyện Ý Yên,Thị trấn Lâm
     36016,TTYT  Huyện Nam Trực,Nam Truc District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Nam Định,Huyện Nam Trực,Thị trấn Nam Giang
     36011,TTYT  Huyện Trực Ninh,Truc Ninh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Nam Định,Huyện Trực Ninh,Thị trấn Cổ Lễ
     36022,TTYT  Huyện Xuân Trường,Xuan Truong District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Nam Định,Huyện Xuân Trường,Xã Xuân Hồng
     36025,TTYT  Huyện Giao Thủy,Giao Thuy District Health Center,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Nam Định,Huyện Giao Thủy,Thị trấn Ngô Đồng
     ,TTYT  huyện Nghĩa Hưng (cơ sở Nghĩa Bình),Nghia Hung District Health Center (CS2-Preventive medicine Center),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Nam Định,Huyện Nghĩa Hưng,Thị trấn Liễu Đề
     34019,Bệnh viện Tâm thần Thái Bình,Thai Binh Provincial Mental Health Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Thái Bình,Thành phố Thái Bình,Phường Trần Lãm
     37201,TTYT Thành phố Tam Điệp,Tam Diep City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Ninh Bình,Thành phố Tam Điệp,Phường Bắc Sơn
     37401,TTYT Huyện Gia Viễn,Gia Vien District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Ninh Bình,Huyện Gia Viễn,Thị trấn Me
     37601,TTYT Huyện Yên Mô,Yen Mo District Health Center (CS1-Hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Ninh Bình,Huyện Yên Mô,Thị trấn Yên Thịnh
     37801,Bệnh viện đa khoa huyện Yên Khánh,Yen Khanh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Ninh Bình,Huyện Yên Khánh,Thị trấn Yên Ninh
     02226,TTYT  Thành phố Hà Giang,Ha Giang City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hà Giang,Thành phố Hà Giang,Phường Trần Phú
     02227,Bệnh viện Lao và bệnh phổi Hà Giang,Ha Giang provincial Tuberculosis and Lung Disease Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Hà Giang,Thành phố Hà Giang,Phường Minh Khai
     02217,Bệnh viện đa khoa Nà Chì,Na Tri (Na Chi) General Hospital (in Xin Man District),Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Hà Giang,Huyện Xín Mần,Xã Nà Chì
     04015,Bệnh viện đa khoa y dược cổ truyền - Phục hồi chức năng tỉnh Cao Bằng,Cao Bang provincial Traditional Medicine Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Cao Bằng,Thành phố Cao Bằng,Phường Tân Giang
     04001,Trung tâm Y tế Thành phố,Cao Bang City Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Cao Bằng,Thành phố Cao Bằng,Phường Sông Bằng
     04002,Trung tâm Y tế huyện Bảo Lạc,Bao Lac District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Bảo Lạc,Thị trấn Bảo Lạc
     04250,Phòng khám đa khoa khu vực Bản Ngà,Phòng khám đa khoa khu vực Bản Ngà,Phòng khám đa khoa,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Bảo Lạc,Xã Huy Giáp
     04012,Trung tâm Y tế huyện Bảo Lâm,Bao Lam District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Bảo Lâm,Thị trấn Pác Miầu
     04215,Trạm y tế thị trấn Pác Miầu,Trạm y tế thị trấn Pác Miầu,"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Bảo Lâm,Thị trấn Pác Miầu
     04004,Bệnh viện đa khoa huyện Hà Quảng,Ha Quang District Health Center,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Hà Quảng,Thị trấn Xuân Hòa
     04003,Trung tâm Y tế huyện Hà Quảng,Thong Nong District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Hà Quảng,Thị trấn Thông Nông
     04005,Trung tâm Y tế huyện Trùng Khánh,Tra Linh District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Trùng Khánh,Xã Cao Chương
     04093,Trạm y tế xã Quốc Toản,Trạm y tế xã Quốc Toản,"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Xã Quốc Toản
     04006,Bệnh viện đa khoa huyện Trùng Khánh,Trung Khanh District Health Center,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Trùng Khánh,Thị trấn Trùng Khánh
     04007,Trung tâm Y tế huyện Nguyên Bình,Nguyen Binh District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Nguyên Bình,Thị trấn Nguyên Bình
     04016,Bệnh viện Tĩnh Túc,Tinh Tuc Hospital (Nguyen Binh District),Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Nguyên Bình,Thị trấn Tĩnh Túc
     04255,Phòng khám đa khoa khu vực Phia Đén,Phòng khám đa khoa khu vực Phia Đén,Phòng khám đa khoa,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Nguyên Bình,Xã Thành Công
     04008,Trung tâm Y tế huyện Hòa An,Hoa An District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Hoà An,Thị trấn Nước Hai
     04136,Trạm y tế xã Phúc Sen,Trạm y tế xã Phúc Sen,"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Xã Phúc Sen
     04009,Bệnh viện đa khoa huyện Quảng Hòa,Quang Uyen Distric Health Center,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Xã Chí Thảo
     04138,Trạm y tế xã Tự Do,Trạm y tế xã Tự Do,"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Xã Tự Do
     04141,Trạm y tế xã Ngọc Động,Trạm y tế xã Ngọc Động,"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Xã Ngọc Động
     04127,Trạm y tế thị trấn Quảng Uyên,Trạm y tế thị trấn Quảng Uyên,"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Thị trấn Quảng Uyên
     04144,Trạm y tế thị trấn Tà Lùng,Trạm y tế thị trấn Tà Lùng,"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Thị trấn Tà Lùng
     04145,Trạm y tế xã Bê Văn Đàn (xã Triệu Ẩu cũ),Trạm y tế xã Bê Văn Đàn (xã Triệu Ẩu cũ),"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Xã Bế Văn Đàn
     04013,Trung tâm Y tế huyện Quảng Hòa,Phuc Hoa District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Thị trấn Hoà Thuận
     04151,Trạm y tế thị trấn Hòa Thuận,Trạm y tế thị trấn Hòa Thuận,"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Quảng Hòa,Thị trấn Hoà Thuận
     04011,Trung tâm Y tế huyện Hạ Lang,Ha Lang District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Hạ Lang,Thị trấn Thanh Nhật
     04010,Trung tâm Y tế huyện Thạch An,Thach An District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Thạch An,Thị trấn Đông Khê
     04211,Trạm y tế xã Lê Lợi,Trạm y tế xã Lê Lợi,"Trạm y tế cấp xã, trạm xá",Tuyến tỉnh,Tỉnh Cao Bằng,Huyện Thạch An,Xã Lê Lợi
     10002,BV Đa khoa  Thành phố Lào Cai,Lao Cai City Health Center,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Duyên Hải
     10013,Bệnh viện Phục hồi chức năng tỉnh Lào Cai,Lao Cai provincial Rehabilitation Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Bắc Cường
     10010,Bệnh viện Y học cổ truyền - Lào Cai,Lao Cai Provincial Traditional Medicine Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Bắc Cường
     10021; 10081,TTYT huyện Si Ma Cai,Si Ma Cai District Health Center ,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lào Cai,Huyện Si Ma Cai,Thị trấn Si Ma Cai
     06033,Trung tâm y tế thành phố Bắc Kạn ,Bac Kan City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bắc Kạn,Thành Phố Bắc Kạn,Phường Đức Xuân
     06005,TTYT  Huyện Ba Bể,Ba Be District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bắc Kạn,Huyện Ba Bể,Thị trấn Chợ Rã
     06031,TTYT  Huyện Pác Nặm,Pac Nam District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Bắc Kạn,Huyện Pác Nặm,Xã Bộc Bố
     06002,TTYT  Huyện Ngân Sơn,Ngan Son District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bắc Kạn,Huyện Ngân Sơn,Xã Vân Tùng
     06004,TTYT  Huyện Chợ Đồn,Cho Don District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bắc Kạn,Huyện Chợ Đồn,Thị trấn Bằng Lũng
     06003,TTYT  Huyện Bạch Thông,Bach Thong District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bắc Kạn,Huyện Bạch Thông,Thị trấn Phủ Thông
     20002,TTYT  Thành phố Lạng Sơn,Lang Son City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lạng Sơn,Thành phố Lạng Sơn,Phường Hoàng Văn Thụ
     20006,TTYT  Huyện Tràng Định,Trang Dinh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lạng Sơn,Huyện Tràng Định,Thị trấn Thất Khê
     20008,TTYT Huyện Văn Lãng,Van Lang District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lạng Sơn,Huyện Văn Lãng,Thị trấn Na Sầm
     20007,TTYT Huyện Bình Gia,Binh Gia District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lạng Sơn,Huyện Bình Gia,Thị trấn Bình Gia
     20009,TTYT  Huyện Bắc Sơn,Bac Son District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lạng Sơn,Huyện Bắc Sơn,Xã Vũ Lễ
     20012,TTYT  Huyện Lộc Bình,Loc Binh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lạng Sơn,Huyện Lộc Bình,Thị trấn Lộc Bình
     20014,TTYT  Huyện Chi Lăng,Chi Lang District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lạng Sơn,Huyện Chi Lăng,Thị trấn Đồng Mỏ
     20015,TTYT  Huyện Đình Lập,Dinh Lap District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lạng Sơn,Huyện Đình Lập,Thị trấn Đình Lập
     08118,Bệnh viện đa khoa huyện Lâm Bình,Lam Binh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Tuyên Quang,Huyện Lâm Bình,Xã Lăng Can
     08602,Bệnh viện đa khoa huyện Na Hang,Na Hang District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Tuyên Quang,Huyện Na Hang,Thị trấn Na Hang
     08501,TTYT  Huyện Chiêm Hóa,Chiem Hoa District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Tuyên Quang,Huyện Chiêm Hóa,Thị trấn Vĩnh Lộc
     08401,Bệnh viện đa khoa huyện Hàm Yên,Ham Yen District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Tuyên Quang,Huyện Hàm Yên,Thị trấn Tân Yên
     15901,Bệnh viện đa khoa khu vực Nghĩa Lộ,Nghia Lo Regional General Hospital,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Yên Bái,Thị xã Nghĩa Lộ,Phường Pú Trạng
     15301,TTYT  Huyện Văn Yên,Van Yen District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Yên Bái,Huyện Văn Yên,Thị trấn Mậu A
     15501,TTYT  Huyện Mù Cang Chải,Mu Cang Chai District Health Center (CS1-Hospital),Trung tâm y tế,Tuyến tỉnh,Tỉnh Yên Bái,Huyện Mù Căng Chải,Thị trấn Mù Căng Chải
     15701,TTYT  Huyện Trấn Yên,Tran Yen District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Yên Bái,Huyện Trấn Yên,Thị trấn Cổ Phúc
     15401,TTYT  Huyện Yên Bình,Yen Binh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Yên Bái,Huyện Yên Bình,Thị trấn Yên Bình
     15601,TTYT  Huyện Văn Chấn,Van Chan District Health Center (CS1),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Yên Bái,Huyện Văn Chấn,Thị trấn NT Trần Phú
     15801,TTYT  Huyện Trạm Tấu,Tram Tau District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Yên Bái,Huyện Trạm Tấu,Thị trấn Trạm Tấu
     19001,TTYT  Thành phố Thái Nguyên,Thai Nguyen City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Thái Nguyên,Thành phố Thái Nguyên,Phường Phan Đình Phùng
     19002,TTYT  Thành phố Sông Công,Song Cong City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Thái Nguyên,Thành phố Sông Công,Phường Thắng Lợi
     19006,TTYT  Huyện Võ Nhai,Vo Nhai District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Thái Nguyên,Huyện Võ Nhai,Thị trấn Đình Cả
     19004,TTYT  Huyện Phú Lương,Phu Luong District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Thái Nguyên,Huyện Phú Lương,Thị trấn Đu
     19020,Phân viện Trại Cau,Dong Hy District Health Center (CS2-Former Trai Cau Hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Thái Nguyên,Huyện Đồng Hỷ,Xã Tân Lợi
     25040,Bệnh viện Mắt tỉnh Phú Thọ,Phu Tho provincial Eye Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Phú Thọ,Thành phố Việt Trì,Phường Nông Trang
     25015,TTYT  Huyện Đoan Hùng,Doan Hung District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Phú Thọ,Huyện Đoan Hùng,Xã Hợp Nhất
     25014,TTYT  Huyện Hạ Hòa,Ha Hoa District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Phú Thọ,Huyện Hạ Hoà,Thị trấn Hạ Hoà
     25008,TTYT  Huyện Phù Ninh,Phu Ninh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Phú Thọ,Huyện Phù Ninh,Xã Phú Lộc
     25004,TTYT  Huyện Lâm Thao,Lam Thao District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Phú Thọ,Huyện Lâm Thao,Thị trấn Lâm Thao
     25011,TTYT  Huyện Cẩm Khê,Cam Khe District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Phú Thọ,Huyện Cẩm Khê,Thị trấn Cẩm Khê
     25012,TTYT  Huyện Yên Lập,Yen Lap District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Phú Thọ,Huyện Yên Lập,Thị trấn Yên Lập
     25009,TTYT  Huyện Tam Nông,Tam Nong District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Phú Thọ,Huyện Tam Nông,Xã Vạn Xuân
     25005,TTYT  Huyện Thanh Thủy,Thanh Thuy District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Phú Thọ,Huyện Thanh Thuỷ,Thị trấn Thanh Thủy
     25010,TTYT  Huyện Thanh Sơn,Thanh Son District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Phú Thọ,Huyện Thanh Sơn,Thị trấn Thanh Sơn
     24255,Trung tâm HSTC COVID-19 BV ĐK Tỉnh Bắc Giang,Bac Giang Provincial Mental Health Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Bắc Giang,Thành phố Bắc Giang,Xã Song Mai
     24022,Bệnh viện Sản Nhi Bắc Giang,Bac Giang Women's and Children's Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Bắc Giang,Thành phố Bắc Giang,Phường Dĩnh Kế
     24023,BV Dã chiến Số 1 Bắc Giang,Bac Giang provincial Hospital of Endocrinology,Bệnh viện dã chiến,Tuyến tỉnh,Tỉnh Bắc Giang,Thành phố Bắc Giang,Xã Tân Mỹ
     24005,TTYT Huyện Lục Ngạn,Luc Ngan District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bắc Giang,Huyện Lục Ngạn,Thị trấn Chũ
     24009_,BV Dã chiến số 3 Bắc Giang,Viet Yen District Health Center (CS1-hospital),Bệnh viện dã chiến,Tuyến tỉnh,Tỉnh Bắc Giang,Huyện Việt Yên,Thị trấn Bích Động
     22027,TTYT  Thành phố Móng Cái,Mong Cai City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Quảng Ninh,Thành phố Móng Cái,Phường Ninh Dương
     22023,TTYT  Huyện Hải Hà,Hai Ha District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Quảng Ninh,Huyện Hải Hà,Thị trấn Quảng Hà
     22024,Trung tâm Y tế  huyện Đầm Hà,Dam Ha District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Quảng Ninh,Huyện Đầm Hà,Thị trấn Đầm Hà
     22022,TTYT  Huyện Tiên Yên,Tien Yen District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Quảng Ninh,Huyện Tiên Yên,Thị trấn Tiên Yên
     22026,TTYT  Huyện Ba Chẽ,Ba Che District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Quảng Ninh,Huyện Ba Chẽ,Thị trấn Ba Chẽ
     22021,TTYT  Huyện Vân Đồn,Van Don District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Quảng Ninh,Huyện Vân Đồn,Thị trấn Cái Rồng
     22015,Trung tâm y tế thị xã Đông Triều (bv),Dong Trieu Town Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Quảng Ninh,Thị xã Đông Triều,Phường Đức Chính
     22029,TTYT  Huyện Cô Tô,Co To District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Quảng Ninh,Huyện Cô Tô,Thị trấn Cô Tô
     12015,TTYT  Huyện Mường Tè,Muong Te District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lai Châu,Huyện Mường Tè,Thị trấn Mường Tè
     12013,TTYT  Huyện Phong Thổ,Phong Tho District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Lai Châu,Huyện Phong Thổ,Thị trấn Phong Thổ
     12001,TTYT  Huyện Tam Đường,Tam Duong District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lai Châu,Huyện Tam Đường,Thị trấn Tam Đường
     12014,TTYT  Huyện Sìn Hồ,Sin Ho District Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lai Châu,Huyện Sìn Hồ,Thị trấn Sìn Hồ
     12016,TTYT  Huyện Than Uyên,Than Uyen District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lai Châu,Huyện Than Uyên,Thị trấn Than Uyên
     12135,TTYT  Huyện Nậm Nhùn,Nam Nhun District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Lai Châu,Huyện Nậm Nhùn,Thị trấn Nậm Nhùn
     11002_,BV Dã chiến Điện biên (TTYT  TP Điện Biên Phủ),TTYT  Thành phố Điện Biên Phủ,Bệnh viện dã chiến,Tuyến tỉnh,Tỉnh Điện Biên,Thành phố Điện Biên Phủ,Phường Him Lam
     11045,TTYT Thị xã Mường Lay,Muong Lay Town Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Điện Biên,Thị Xã Mường Lay,Phường Na Lay
     11073,TTYT  Huyện Mường Nhé,Muong Nhe District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Điện Biên,Huyện Mường Nhé,Xã Mường Nhé
     11048,TTYT  Huyện Mường Chà,Muong Cha District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Điện Biên,Huyện Mường Chà,Thị Trấn Mường Chà
     11060,TTYT  Huyện Tủa Chùa,Tua Chua District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Điện Biên,Huyện Tủa Chùa,Xã Mường Báng
     11080,TTYT  Huyện Tuần Giáo,Tuan Giao District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Điện Biên,Huyện Tuần Giáo,Thị trấn Tuần Giáo
     11082,TTYT  Huyện Mường Ảng,Muong Ang District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Điện Biên,Huyện Mường Ảng,Thị trấn Mường Ảng
     11011,TTYT  Huyện Điện Biên,TTYT  Huyện Điện Biên,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Điện Biên,Huyện Điện Biên,Xã Thanh An
     11032,TTYT  Huyện Điện Biên,Dien Bien Dong District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Điện Biên,Huyện Điện Biên Đông,Thị trấn Điện Biên Đông
     14230,TTYT  Thành phố Sơn La,Son La City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Sơn La,Thành phố Sơn La,Phường Chiềng Lề
     14001,Bệnh viện đa khoa tỉnh Sơn La,Son La Provincial General Hospital,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Sơn La,Thành phố Sơn La,Phường Chiềng Lề
     14019,Bệnh viện Lao và bệnh phổi Sơn La,Son La Provincial Lung Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Sơn La,Huyện Mai Sơn,Thị trấn Hát Lót
     14011,Bệnh viện đa khoa Thảo Nguyên Mộc Châu,Moc Chau Thao Nguyen General Hospital (formerly the Moc Chau State Farm Hospital),Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Sơn La,Huyện Mộc Châu,Thị trấn NT Mộc Châu
     17003,TTYT  Thành phố Hòa Bình,Hoa Binh City Health Center,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Hoà Bình,Thành phố Hòa Bình,Phường Phương Lâm
     17001,Bệnh viện đa khoa tỉnh Hoà Bình,Hoa Binh Provincial General Hospital,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Hoà Bình,Thành phố Hòa Bình,Phường Đồng Tiến
     17018,Bệnh viện Y học Cổ truyền,Hoa Binh Provincial Traditional Medicine Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Hoà Bình,Thành phố Hòa Bình,Phường Đồng Tiến
     17006,TTYT  Huyện Đà Bắc,Da Bac District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hoà Bình,Huyện Đà Bắc,Thị trấn Đà Bắc
     17008; 17248,TTYT  Huyện Mai Châu,Mai Chau District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hoà Bình,Huyện Mai Châu,Thị trấn Mai Châu
     17005,TTYT  Huyện Lương Sơn,Luong Son District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hoà Bình,Huyện Lương Sơn,Thị trấn Lương Sơn
     17007,TTYT  Huyện Cao Phong,Cao Phong District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hoà Bình,Huyện Cao Phong,Thị trấn Cao Phong
     17012,TTYT  Huyện Kim Bôi,Kim Boi District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hoà Bình,Huyện Kim Bôi,Thị trấn Bo
     17009,TTYT  Huyện Tân Lạc,Tan Lac District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hoà Bình,Huyện Tân Lạc,Thị trấn Mãn Đức
     17010,TTYT  Huyện Lạc Sơn,Lac Son District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hoà Bình,Huyện Lạc Sơn,Thị trấn Vụ Bản
     17013,TTYT  Huyện Lạc Thủy,Lac Thuy District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hoà Bình,Huyện Lạc Thủy,Thị trấn Chi Nê
     17011,TTYT  Huyện Yên Thủy,Yen Thuy District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hoà Bình,Huyện Yên Thủy,Thị trấn Hàng Trạm
     38011,Bệnh viện Y dược cổ truyền,Thanh Hoa Provincial Traditional Medicine Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Thanh Hóa,Thành phố Thanh Hóa,Phường Trường Thi
